 0 9.65 13.6
 5 9.23 18.2
10 9.44 18.0
15 9.44 18.2
20 9.23 18.0
25 9.44 18.0
30 9.23 18.5
35 9.44 18.0
40 9.44 18.2
45 9.23 18.2
50 9.44 18.0
55 9.23 18.2
